,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,2.046875,1.8697916666666667,0.078125,0.453125,0.5520833333333334,0.640625
200,0.8958333333333334,3.0260416666666665,0.0,0.203125,0.390625,0.3645833333333333
500,1.4114583333333333,7.916666666666667,0.026041666666666668,0.3385416666666667,0.6041666666666666,0.8072916666666666
1000,3.0572916666666665,16.5,0.0,0.4947916666666667,1.3020833333333333,1.4270833333333333
2000,5.78125,45.09375,0.020833333333333332,0.8333333333333334,2.0677083333333335,2.1510416666666665
5000,12.416666666666666,122.27604166666667,0.020833333333333332,2.234375,4.973958333333333,5.791666666666667
10000,16.151041666666668,293.0052083333333,0.020833333333333332,3.8020833333333335,9.395833333333334,11.53125
20000,16.135416666666668,735.5052083333334,0.08333333333333333,7.348958333333333,20.510416666666668,24.322916666666668
50000,40.265625,1966.03125,0.125,16.411458333333332,47.442708333333336,57.203125
