,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,0.3785613600244629,0.3388930703732094,0.9501597251038879,0.13736942940699767,0.38911749169833226,0.6449206262242868
200,0.4369653399677889,0.3575984082148775,0.9615860922387002,0.2294565482542594,0.4310496398893339,0.7560854851462427
500,0.2439904558307802,0.30455736373240777,0.9928211433401444,0.3941511292853093,0.4941825442179007,0.7204993607588136
1000,0.28487651775298006,0.28808751923034487,0.9840435121670966,0.7364742546131321,0.5888087226687719,0.7021519149127607
2000,0.29338594547536007,0.26734628471464167,0.9984433967557416,0.848263912249935,0.5783643067810581,0.6436364575341629
5000,0.41594592610774156,0.31144733269154773,0.9996127062682723,0.8641361628693683,0.5553594852827092,0.6292460427996095
10000,0.3148836628106425,0.2657966580590162,0.99974804964944,0.8980745662707554,0.5527619710348676,0.6163832326875246
20000,0.33254113397876744,0.26492356275882045,0.9999020039675224,0.9162926528299861,0.5452496513393194,0.6111387175485424
50000,0.94537277791331,0.2791061135228422,0.999936323227125,0.8956447417143135,0.5168189081949647,0.5703227362855193
