,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,0.20701138622329499,0.04736310688744761,0.03777117564632013,0.09440022203592208,0.06085026467922327,0.1259742153348484
200,0.0784564551033256,0.017073397367530694,0.03593594189282961,0.08447485824682,0.03969145824910035,0.02824103227868787
500,0.10127172410060459,0.08375879073195405,0.002744201274538305,0.022664930056988664,0.010069577903722048,0.01609697459641733
1000,0.018805869801339824,0.025053353392513925,0.012934522979975419,0.09023754267941946,0.017220640650869007,0.014581458450875127
2000,0.3070358437588726,0.1790878122390321,0.0006292093810531682,0.0028688714300126733,0.025128394525691603,0.020240685253697394
5000,0.35363062312427535,0.02774673855754064,0.00020518500720356658,0.008061921968224259,0.020631258110811367,0.01485833945430568
10000,0.21675822056499522,0.08128253360515796,0.00018090616449811364,0.00909634022531249,0.003017539762485638,0.01917114869727382
20000,0.3204270547922837,0.07078659802582303,3.212685512311526e-05,0.0010594823158819372,0.0035902473321694807,0.00717504047480115
50000,0.026689874304888842,0.15259178764997028,3.9101884099956625e-05,0.007820096689688963,0.0037936554411425955,0.01158192104063766
