,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,1.7247527751584186,0.1085034721666649,0.11048543456039805,0.47547262670946683,0.4500313453589156,0.43880015145469886
200,0.1185396528827192,0.07795119555779044,0.0,0.02551551815399144,0.08365822085525526,0.1290574134725403
500,0.07026425814183354,0.22833656475815597,0.036828478186799345,0.03682847818679935,0.1327869664998121,0.07026425814183355
1000,0.1085034721666649,0.2872621298570349,0.0,0.09909529995021067,0.15951450865743286,0.07795119555779044
2000,0.12564935501890437,1.9923355745623443,0.02946278254943948,0.03897559777889522,0.3014540860101621,0.06421264586426018
5000,4.7220313737986634,2.1292976354044284,0.02946278254943948,0.08930431353897003,0.0769001201053823,0.27043239553639936
10000,0.19150808657135665,2.3254610504633746,0.02946278254943948,0.11853965288271918,0.33665338773317316,0.4343262862372788
20000,0.12779004319151352,18.6700218455096,0.02946278254943948,0.3317835064298539,0.6668700861528845,0.746665039060726
50000,0.5686870386395901,65.74663949943563,0.0,0.551001298143258,0.9441029049520444,3.434752690029759
