,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,0.5464819956864986,0.2326298129042086,0.9810517768175293,0.5387528553122696,0.5874564839850146,0.5154464778684722
200,0.6620262505944768,0.1280007521543382,0.9974507426067222,0.5148439608539136,0.6195062924377236,0.49648692082961815
500,0.8469728078527918,0.21887431201942162,0.9983718912544789,0.47451439888509855,0.5962624284767243,0.5324049491425448
1000,0.7882870912581871,0.26874693208379796,0.9986058959973478,0.4971974251358731,0.6121887145083722,0.5567120006801088
2000,0.8232649619030491,0.4559322190939104,0.9997163401594692,0.49786828993742965,0.6177917594997594,0.5475830950543682
5000,0.6582403715055584,0.35362682364859904,0.9995685809334257,0.5041802996045042,0.6228630463533849,0.5484193558958698
10000,0.682030595834577,0.38441781808395986,0.9997266699028898,0.5020782978878059,0.6218084009719306,0.5641280572992496
20000,0.761919967223241,0.37295802461760036,0.9999556685680702,0.49110758786150793,0.6224738508644014,0.5794573540913622
50000,0.7440696720980996,0.5567069486132468,0.9999962243716679,0.47821308855943395,0.6090582934429588,0.5933835555584773
