,UMAP,tSNE,PCA,AE2layer,AE6layer,VAE
100,0.2537630209478617,0.010275378199482458,0.016104252129444215,0.04938575215799027,0.012159723775992549,0.052167770846482144
200,0.1993846543840798,0.044319692455936616,0.0002133358799654844,0.027584084125521085,0.012303712061810681,0.037731065967775965
500,0.06220593837934167,0.1220434169404584,0.00039999633547917017,0.013501769332796424,0.0010599066692705155,0.026851812655244722
1000,0.1678803237899269,0.03326891944378235,0.0012786379264745499,0.02175245171860101,0.017319365876944198,0.013725419645813183
2000,0.17126738371574762,0.03832698117493189,6.125912146545808e-05,0.009050091632945977,0.009587121913291826,0.012104664124485253
5000,0.09996536242716322,0.12870468861925963,0.00032279894483416865,0.0036250660435285897,0.0018754983392338634,0.01671319555429752
10000,0.014808425637111326,0.10521330665358435,0.00014399385262466095,0.004234342619941849,0.011176554391249602,0.010237602482596756
20000,0.17294691764221987,0.13530027375327802,2.4188509578410277e-05,0.001730857128084953,0.002028522823915338,0.004366688966366499
50000,0.16465956807255164,0.14610153521573813,1.6136307219079336e-06,0.0009322409794215531,0.0049361030029996585,0.005015215975975476
